Timestamp,Distance (cm)
20250208164326,144.91
20250208164327,139.28
20250208164328,138.86
20250208164329,138.80
20250208164330,127.45
20250208164331,144.06
20250208164332,138.12
20250208164333,135.71
20250208164334,136.48
20250208164335,136.93
20250208164336,136.27
20250208164337,135.76
20250208164338,135.22
20250208164339,132.63
20250208164340,135.42
20250208164341,134.88
20250208164342,133.89
20250208164343,135.32
20250208164344,136.36
20250208164345,135.27
20250208164346,134.10
20250208164347,135.85
20250208164348,134.91
20250208164349,135.22
20250208164350,134.67
20250208164351,133.77
20250208164352,135.17
20250208164353,133.93
20250208164354,133.81
20250208164355,135.15
20250208164356,134.98
20250208164357,134.49
20250208164358,134.01
20250208164359,133.33
20250208164400,133.42
20250208164401,134.27
20250208164402,134.42
20250208164403,134.13
20250208164404,134.08
20250208164405,133.65
20250208164406,134.03
20250208164407,133.67
20250208164408,134.76
20250208164409,134.79
20250208164410,133.89
20250208164411,135.25
20250208164412,134.95
20250208164413,134.03
20250208164414,133.81
20250208164415,135.12
20250208164416,133.52
20250208164417,134.04
20250208164418,133.20
20250208164419,135.86
20250208164420,135.18
20250208164421,78.11
20250208164422,121.21
20250208164423,137.39
20250208164424,135.27
20250208164425,134.20
20250208164426,134.35
20250208164427,134.01
20250208164428,134.04
20250208164429,133.82
20250208164430,133.67
20250208164431,134.04
20250208164432,132.85
20250208164433,134.93
20250208164434,135.30
20250208164435,134.74
20250208164436,135.25
20250208164437,135.17
20250208164438,134.86
20250208164439,133.91
20250208164440,130.61
20250208164441,136.10
20250208164442,135.30
20250208164443,134.64
20250208164444,134.66
20250208164445,134.49
20250208164446,134.40
20250208164447,134.66
20250208164448,133.64
20250208164449,135.32
20250208164450,133.86
20250208164451,133.98
20250208164452,134.27
20250208164453,133.99
20250208164454,133.62
20250208164455,134.37
20250208164456,134.44
20250208164457,133.69
20250208164458,133.96
20250208164459,133.74
20250208164500,133.35
20250208164501,133.86
20250208164502,133.38
20250208164503,133.21
20250208164504,132.50
20250208164505,133.48
20250208164506,134.33
20250208164507,132.96
20250208164508,132.89
20250208164509,133.57
20250208164511,133.64
20250208164512,133.72
20250208164513,135.10
20250208164514,193.43
20250208164515,134.32
20250208164516,207.93
20250208164517,147.90
20250208164518,159.34
20250208164519,47.31
20250208164520,139.15
20250208164521,155.14
20250208164522,141.58
20250208164523,139.96
20250208164524,129.25
20250208164525,137.02
20250208164526,108.63
20250208164527,141.08
20250208164528,136.49
20250208164529,143.74
20250208164530,143.28
20250208164531,136.43
20250208164532,147.88
20250208164533,150.59
20250208164534,142.44
20250208164535,142.68
20250208164536,143.38
20250208164537,146.64
20250208164538,146.27
20250208164539,146.51
20250208164540,146.23
20250208164541,147.44
20250208164542,147.42
20250208164543,149.97
20250208164544,143.97
20250208164545,145.64
20250208164546,146.61
20250208164547,146.34
20250208164548,146.18
20250208164549,146.40
20250208164550,145.88
20250208164551,146.25
20250208164552,146.34
20250208164553,146.32
20250208164554,146.23
20250208164556,146.46
20250208164557,146.27
20250208164558,145.98
20250208164559,146.12
20250208164600,146.22
20250208164601,146.59
20250208164602,146.29
20250208164603,145.96
20250208164604,146.22
20250208164605,146.27
20250208164606,146.27
20250208164607,146.98
20250208164608,146.93
20250208164609,144.65
20250208164610,140.76
20250208164611,146.69
20250208164612,145.88
20250208164613,146.73
20250208164614,132.38
20250208164615,144.41
20250208164616,142.21
20250208164617,141.88
20250208164618,142.46
20250208164619,141.56
20250208164620,143.16
20250208164621,142.07
20250208164622,141.83
20250208164623,142.66
20250208164624,145.83
20250208164625,140.37
20250208164626,140.35
20250208164627,140.40
20250208164628,140.62
20250208164629,146.25
20250208164630,142.73
20250208164631,143.14
20250208164632,141.46
20250208164633,144.99
20250208164634,144.77
20250208164635,145.86
20250208164636,146.30
20250208164637,141.88
20250208164638,143.38
20250208164639,144.01
20250208164640,142.87
20250208164641,142.68
20250208164642,143.70
20250208164643,145.81
20250208164644,146.30
20250208164645,145.88
20250208164646,147.07
20250208164647,142.83
20250208164648,145.83
20250208164649,145.96
20250208164651,145.54
20250208164652,145.69
20250208164653,146.13
20250208164654,146.46
20250208164655,146.47
20250208164656,146.13
20250208164657,146.27
20250208164658,146.20
20250208164659,146.13
20250208164700,146.15
20250208164701,145.84
20250208164702,145.86
20250208164703,143.68
20250208164704,148.80
20250208164705,145.33
20250208164706,145.06
20250208164707,178.01
Timestamp,Distance (cm)
20250208165602,145.42
20250208165603,158.20
20250208165604,142.07
20250208165605,152.34
20250208165606,213.21
20250208165608,0.00
20250208165610,0.00
20250208165612,0.00
20250208165614,0.00
20250208165616,0.00
20250208165618,0.00
20250208165620,0.00
20250208165622,0.00
20250208165624,0.00
20250208165626,0.00
20250208165628,0.00
20250208165630,0.00
20250208165632,0.00
20250208165634,0.00
20250208165636,0.00
20250208165638,0.00
20250208165640,0.00
20250208165642,0.00
20250208165644,0.00
20250208165646,0.00
20250208165648,0.00
20250208165650,0.00
20250208165652,0.00
20250208165654,0.00
20250208165656,0.00
20250208165658,0.00
20250208165700,0.00
20250208165702,0.00
20250208165704,0.00
20250208165706,0.00
20250208165708,0.00
20250208165710,0.00
20250208165712,0.00
20250208165714,0.00
20250208165716,0.00
20250208165718,0.00
20250208165720,0.00
20250208165722,0.00
20250208165724,0.00
20250208165725,152.61
20250208165726,208.45
20250208165727,160.72
20250208165728,162.72
20250208165730,208.27
Timestamp,Distance (cm)
20250208165923,191.54
20250208165924,186.64
20250208165925,179.18
20250208165926,172.23
20250208165927,175.54
20250208165928,179.89
20250208165929,170.49
20250208165930,169.15
20250208165931,176.07
20250208165932,175.92
20250208165933,179.96
20250208165934,174.91
20250208165935,0.00
20250208165937,0.00
20250208165939,0.00
20250208165941,0.00
20250208165943,0.00
20250208165945,0.00
20250208165947,0.00
20250208165949,0.00
20250208165951,0.00
20250208165953,0.00
20250208165955,0.00
20250208165957,0.00
20250208165959,0.00
20250208170001,0.00
20250208170003,0.00
20250208170005,0.00
20250208170007,0.00
20250208170009,0.00
20250208170011,0.00
20250208170012,168.79
20250208170013,171.72
20250208170015,0.00
20250208170016,197.13
20250208170017,190.01
20250208170018,188.94
20250208170020,187.14
20250208170021,185.52
20250208170022,186.25
20250208170023,188.29
20250208170024,185.49
20250208170025,177.53
20250208170026,183.55
20250208170027,189.31
20250208170028,186.83
20250208170029,190.01
20250208170030,189.40
20250208170031,190.50
20250208170032,190.60
20250208170033,191.18
20250208170034,189.38
20250208170035,189.79
20250208170036,189.55
20250208170037,190.21
20250208170038,190.52
20250208170039,190.50
20250208170040,189.96
20250208170041,191.69
20250208170042,193.15
20250208170043,195.93
20250208170044,192.05
20250208170045,193.71
20250208170046,181.17
20250208170047,180.73
20250208170048,179.49
20250208170049,187.85
20250208170051,0.00
20250208170053,181.70
20250208170054,172.40
20250208170055,172.72
20250208170056,182.29
20250208170057,564.79
20250208170058,168.42
20250208170059,169.25
20250208170101,0.00
20250208170103,0.00
20250208170105,0.00
20250208170107,0.00
20250208170109,0.00
20250208170111,0.00
20250208170113,0.00
20250208170115,0.00
20250208170117,0.00
20250208170119,0.00
20250208170121,0.00
20250208170123,0.00
20250208170125,0.00
20250208170127,0.00
20250208170129,0.00
20250208170131,0.00
20250208170133,0.00
20250208170135,0.00
20250208170137,15.25
20250208170139,0.00
20250208170141,0.00
20250208170143,0.00
20250208170145,0.00
20250208170146,49.35
20250208170147,240.26
20250208170148,148.21
20250208170149,0.24
20250208170150,211.51
20250208170152,0.94
20250208170154,0.00
20250208170156,0.00
20250208170157,285.91
20250208170158,254.07
20250208170159,0.32
20250208170200,237.69
20250208170201,230.52
20250208170202,217.12
20250208170203,219.83
20250208170204,182.92
20250208170205,211.26
20250208170206,236.91
20250208170207,230.21
20250208170208,0.02
20250208170210,0.00
20250208170212,0.00
20250208170214,0.00
20250208170215,114.17
20250208170217,0.00
20250208170218,678.96
20250208170220,0.00
20250208170222,0.00
20250208170224,0.00
20250208170226,0.00
20250208170228,0.00
20250208170230,0.00
20250208170232,0.00
20250208170234,17.85
20250208170236,0.00
20250208170237,181.56
20250208170239,0.00
20250208170241,0.00
20250208170243,0.00
20250208170244,52.63
20250208170245,168.03
20250208170246,179.72
20250208170247,168.90
20250208170248,167.06
20250208170249,166.23
20250208170250,165.92
20250208170251,0.24
20250208170252,165.36
20250208170253,165.99
20250208170254,165.73
20250208170255,166.16
20250208170256,164.85
20250208170257,166.04
20250208170258,165.87
20250208170259,166.21
20250208170300,166.36
20250208170301,167.01
20250208170302,165.15
20250208170303,165.29
20250208170304,165.80
20250208170305,166.14
20250208170306,165.51
20250208170307,166.35
20250208170308,165.60
20250208170309,165.66
20250208170310,166.38
20250208170311,0.24
20250208170312,165.60
20250208170313,166.19
20250208170314,166.28
20250208170315,165.92
20250208170316,166.58
20250208170317,165.65
20250208170318,165.90
20250208170319,166.21
20250208170320,166.87
20250208170321,165.94
20250208170322,165.32
20250208170323,166.58
20250208170324,164.93
20250208170325,166.28
20250208170326,165.31
20250208170327,165.15
20250208170328,165.21
20250208170329,164.46
20250208170331,164.56
20250208170332,159.17
20250208170333,158.15
20250208170334,159.73
20250208170335,160.16
20250208170336,164.61
20250208170337,164.20
20250208170338,164.56
20250208170339,164.32
20250208170340,0.14
20250208170341,160.60
20250208170342,158.34
20250208170343,158.63
20250208170344,158.03
20250208170345,160.19
20250208170346,158.70
20250208170347,156.86
20250208170348,155.45
20250208170349,160.82
20250208170350,161.79
20250208170351,0.12
20250208170352,160.80
20250208170353,159.46
20250208170354,160.74
20250208170355,161.69
20250208170356,160.29
20250208170357,159.19
20250208170358,159.56
20250208170359,161.04
20250208170400,159.80
20250208170401,159.43
20250208170402,158.71
20250208170403,158.24
20250208170404,157.91
20250208170405,157.56
20250208170406,157.96
20250208170407,157.51
20250208170408,157.25
20250208170409,157.62
20250208170410,156.20
20250208170411,155.06
20250208170412,156.11
20250208170413,0.10
20250208170414,155.63
20250208170415,0.14
20250208170416,0.70
20250208170417,0.09
20250208170418,0.07
20250208170419,169.46
20250208170420,168.64
20250208170421,0.10
20250208170422,168.20
20250208170423,0.12
20250208170424,168.73
20250208170425,168.16
20250208170426,0.12
20250208170427,167.79
20250208170428,167.89
20250208170429,168.08
20250208170430,168.20
20250208170431,168.33
20250208170432,0.12
20250208170433,0.12
20250208170434,168.18
20250208170435,169.07
20250208170437,168.21
20250208170438,169.74
20250208170439,168.71
20250208170440,169.35
20250208170441,168.91
20250208170442,167.94
20250208170443,168.69
20250208170444,168.95
20250208170445,168.28
20250208170446,168.42
20250208170447,169.24
20250208170448,169.10
20250208170449,168.18
20250208170450,168.81
20250208170451,167.94
20250208170452,168.76
20250208170453,169.08
20250208170454,167.93
20250208170455,167.81
20250208170456,168.55
20250208170457,168.06
20250208170458,168.18
20250208170459,167.40
20250208170500,168.03
20250208170501,162.95
20250208170502,168.33
20250208170503,169.44
20250208170504,169.73
20250208170506,171.07
20250208170507,169.85
20250208170508,170.56
20250208170509,170.90
20250208170510,170.85
20250208170511,171.29
20250208170512,170.80
20250208170513,172.07
20250208170514,170.83
20250208170515,171.33
20250208170516,174.59
20250208170517,173.33
20250208170519,0.00
20250208170521,0.00
20250208170523,0.00
20250208170524,205.73
20250208170525,156.55
20250208170526,148.43
20250208170527,149.35
20250208170528,144.64
20250208170529,144.59
20250208170530,141.81
20250208170531,138.46
20250208170532,138.62
20250208170533,136.92
20250208170534,137.21
20250208170535,136.36
20250208170536,134.45
20250208170537,135.18
20250208170538,131.00
20250208170539,134.83
20250208170540,132.50
20250208170541,131.90
20250208170542,131.87
20250208170543,130.56
20250208170544,130.90
20250208170545,131.34
20250208170546,130.92
20250208170547,130.83
20250208170548,101.37
20250208170549,92.43
20250208170550,55.18
20250208170551,33.73
20250208170552,61.18
20250208170553,40.80
20250208170555,0.00
20250208170557,0.00
20250208170558,1120.93
20250208170600,0.00
20250208170602,0.00
20250208170604,0.00
20250208170606,0.00
20250208170608,0.00
20250208170610,0.00
20250208170612,0.00
20250208170614,0.00
20250208170616,0.00
20250208170618,0.00
20250208170619,207.33
20250208170620,295.29
20250208170621,168.67
20250208170622,169.18
20250208170623,173.04
20250208170624,174.16
20250208170625,174.52
20250208170626,169.13
20250208170627,170.61
20250208170628,170.54
20250208170629,171.60
20250208170630,171.72
20250208170631,169.98
20250208170633,167.89
20250208170634,167.84
20250208170635,164.15
20250208170636,165.73
20250208170637,167.30
20250208170638,158.18
20250208170639,159.58
20250208170640,35.65
20250208170642,0.00
20250208170644,223.28
20250208170645,189.35
20250208170646,179.26
20250208170647,190.09
20250208170648,170.15
20250208170649,4.15
20250208170651,0.00
20250208170653,1493.82
20250208170654,1.39
20250208170655,173.93
20250208170657,0.00
20250208170659,223.09
20250208170700,201.43
20250208170701,199.31
20250208170702,0.10
20250208170704,0.00
20250208170705,278.34
20250208170707,0.00
20250208170708,268.31
20250208170709,268.86
20250208170710,278.26
20250208170711,273.22
20250208170712,233.12
20250208170713,264.11
20250208170715,0.00
20250208170717,0.00
20250208170719,0.00
20250208170721,0.00
20250208170723,0.00
20250208170725,0.00
20250208170727,0.00
20250208170729,0.00
20250208170731,0.00
20250208170733,0.00
20250208170736,0.00
20250208170738,0.00
20250208170740,0.00
20250208170742,0.00
20250208170743,180.46
20250208170744,195.86
20250208170745,195.87
20250208170746,177.90
20250208170747,171.22
20250208170749,174.08
20250208170750,172.14
20250208170751,172.74
20250208170752,176.97
20250208170753,182.19
20250208170754,186.68
20250208170756,0.00
20250208170758,0.00
20250208170800,0.00
20250208170801,199.29
20250208170802,188.07
20250208170803,175.66
20250208170804,176.39
20250208170805,183.28
20250208170806,168.73
20250208170807,167.09
20250208170808,175.15
20250208170809,161.96
20250208170810,166.84
20250208170811,175.98
20250208170812,168.64
20250208170813,155.33
20250208170814,164.44
20250208170815,150.33
20250208170816,147.56
20250208170817,153.60
20250208170818,152.07
20250208170819,141.85
20250208170820,141.75
20250208170821,143.84
20250208170823,143.14
20250208170824,143.05
20250208170825,180.69
20250208170826,154.94
20250208170827,152.49
20250208170828,152.93
20250208170829,145.89
20250208170830,0.05
20250208170831,144.82
20250208170832,144.09
20250208170833,144.62
20250208170834,3.69
20250208170835,128.42
20250208170836,135.44
20250208170837,151.47
20250208170838,136.27
20250208170839,3.76
20250208170840,136.93
20250208170841,129.71
20250208170842,126.46
20250208170843,126.09
20250208170844,123.91
20250208170845,112.13
20250208170846,106.27
20250208170847,105.55
20250208170848,108.31
20250208170849,112.71
20250208170850,113.78
20250208170851,31.47
20250208170852,207.74
20250208170853,179.45
20250208170854,177.07
20250208170855,166.87
20250208170857,0.00
20250208170859,141.71
20250208170901,0.00
20250208170903,0.00
20250208170904,64.26
20250208170905,89.18
20250208170906,95.47
20250208170907,98.33
20250208170908,97.05
20250208170909,95.30
20250208170910,63.55
20250208170911,64.41
20250208170912,66.54
20250208170914,0.00
20250208170916,88.45
20250208170918,0.00
20250208170920,0.00
20250208170922,0.00
20250208170924,0.00
20250208170926,0.00
20250208170928,0.00
20250208170930,0.00
20250208170932,0.00
20250208170934,0.00
20250208170936,0.00
20250208170938,0.00
20250208170940,0.00
20250208170942,0.00
20250208170944,0.00
20250208170946,0.00
20250208170948,0.00
20250208170950,0.00
20250208170952,0.00
20250208170954,0.00
20250208170956,0.00
20250208170957,102.80
20250208170958,1.26
20250208170959,136.37
20250208171000,170.03
20250208171002,0.00
20250208171004,0.00
20250208171006,0.00
20250208171007,209.63
20250208171008,214.83
20250208171009,204.95
20250208171010,203.34
20250208171011,199.68
20250208171012,200.77
20250208171013,202.71
20250208171014,200.38
20250208171015,198.63
20250208171016,199.77
20250208171017,198.82
20250208171018,199.32
20250208171019,203.64
20250208171021,210.17
20250208171022,209.64
20250208171023,201.43
20250208171024,199.56
20250208171025,198.07
20250208171026,198.97
20250208171027,197.86
20250208171028,197.25
20250208171029,195.16
20250208171030,196.01
20250208171031,198.29
20250208171032,199.31
20250208171033,199.05
20250208171034,195.82
20250208171035,193.87
20250208171036,197.83
20250208171037,199.34
20250208171038,198.61
20250208171039,196.01
20250208171040,194.85
20250208171041,194.94
20250208171042,195.02
20250208171043,199.27
20250208171044,202.76
20250208171045,202.33
20250208171046,202.11
20250208171047,202.93
20250208171048,201.48
20250208171049,199.00
20250208171050,199.19
20250208171051,197.42
20250208171052,197.81
20250208171053,199.19
20250208171054,196.66
20250208171055,195.01
20250208171056,196.38
20250208171057,198.97
20250208171058,202.23
20250208171059,192.78
20250208171100,192.73
20250208171101,210.04
20250208171102,193.37
20250208171103,193.85
20250208171104,189.06
20250208171105,192.46
20250208171106,193.95
20250208171107,193.21
20250208171108,195.01
20250208171109,194.51
20250208171110,185.54
